variant,source,transform,sequence_count,test,pass_proportion,uniformity_p_value,eligible_sequences,subtest_rows
python_random_vn,python_random,vn,2,Serial,1.0,,2,2
python_random_vn,python_random,vn,2,Universal,1.0,,2,1
python_random_xor,python_random,xor,8,ApproximateEntropy,1.0,,8,1
python_random_xor,python_random,xor,8,BlockFrequency,1.0,,8,1
python_random_xor,python_random,xor,8,CumulativeSums,1.0,,8,2
python_random_xor,python_random,xor,8,FFT,1.0,,8,1
python_random_xor,python_random,xor,8,Frequency,1.0,,8,1
python_random_xor,python_random,xor,8,LinearComplexity,1.0,,8,1
python_random_xor,python_random,xor,8,LongestRun,1.0,,8,1
python_random_xor,python_random,xor,8,NonOverlappingTemplate,0.625,,8,148
python_random_xor,python_random,xor,8,OverlappingTemplate,1.0,,8,1
python_random_xor,python_random,xor,8,RandomExcursions,1.0,,5,8
python_random_xor,python_random,xor,8,RandomExcursionsVariant,0.8,,5,18
python_random_xor,python_random,xor,8,Rank,1.0,,8,1
python_random_xor,python_random,xor,8,Runs,1.0,,8,1
python_random_xor,python_random,xor,8,Serial,1.0,,8,2
python_random_xor,python_random,xor,8,Universal,1.0,,8,1
sdr_raw,sdr,raw,8,ApproximateEntropy,0.0,,8,1
sdr_raw,sdr,raw,8,BlockFrequency,0.0,,8,1
sdr_raw,sdr,raw,8,CumulativeSums,0.25,,8,2
sdr_raw,sdr,raw,8,FFT,0.0,,8,1
sdr_raw,sdr,raw,8,Frequency,0.5,,8,1
sdr_raw,sdr,raw,8,LinearComplexity,1.0,,8,1
sdr_raw,sdr,raw,8,LongestRun,0.0,,8,1
sdr_raw,sdr,raw,8,NonOverlappingTemplate,0.0,,8,148
sdr_raw,sdr,raw,8,OverlappingTemplate,0.0,,8,1
sdr_raw,sdr,raw,8,RandomExcursions,0.0,,1,2
sdr_raw,sdr,raw,8,RandomExcursionsVariant,1.0,,1,18
sdr_raw,sdr,raw,8,Rank,0.875,,8,1
sdr_raw,sdr,raw,8,Runs,0.5,,8,1
sdr_raw,sdr,raw,8,Serial,0.0,,8,2
sdr_raw,sdr,raw,8,Universal,0.0,,8,1
sdr_vn,sdr,vn,2,ApproximateEntropy,0.0,,2,1
sdr_vn,sdr,vn,2,BlockFrequency,0.0,,2,1
sdr_vn,sdr,vn,2,CumulativeSums,0.0,,2,2
sdr_vn,sdr,vn,2,FFT,0.0,,2,1
sdr_vn,sdr,vn,2,Frequency,0.0,,2,1
sdr_vn,sdr,vn,2,LinearComplexity,1.0,,2,1
sdr_vn,sdr,vn,2,LongestRun,0.0,,2,1
sdr_vn,sdr,vn,2,NonOverlappingTemplate,0.0,,2,148
sdr_vn,sdr,vn,2,OverlappingTemplate,0.0,,2,1
sdr_vn,sdr,vn,2,Rank,0.0,,2,1
sdr_vn,sdr,vn,2,Runs,0.0,,2,1
sdr_vn,sdr,vn,2,Serial,0.0,,2,2
sdr_vn,sdr,vn,2,Universal,0.0,,2,1
sdr_xor,sdr,xor,8,ApproximateEntropy,0.0,,8,1
sdr_xor,sdr,xor,8,BlockFrequency,0.0,,8,1
sdr_xor,sdr,xor,8,CumulativeSums,0.5,,8,2
sdr_xor,sdr,xor,8,FFT,0.0,,8,1
sdr_xor,sdr,xor,8,Frequency,0.5,,8,1
sdr_xor,sdr,xor,8,LinearComplexity,1.0,,8,1
sdr_xor,sdr,xor,8,LongestRun,0.0,,8,1
sdr_xor,sdr,xor,8,NonOverlappingTemplate,0.0,,8,148
sdr_xor,sdr,xor,8,OverlappingTemplate,0.0,,8,1
sdr_xor,sdr,xor,8,RandomExcursionsVariant,1.0,,3,18
sdr_xor,sdr,xor,8,Rank,1.0,,8,1
sdr_xor,sdr,xor,8,Runs,0.0,,8,1
sdr_xor,sdr,xor,8,Serial,0.0,,8,2
sdr_xor,sdr,xor,8,Universal,0.0,,8,1
